id,train_number,train_name,line,capacity,current_station,status,speed_limit_kmh,manufacturer,model,year_of_manufacture
TRN_001,DL-2824,Red Line Train 1,Red Line,2200,Shaheed Nagar,Running,80,Alstom,METRO-X,2013
TRN_002,DL-9935,Red Line Train 2,Red Line,2400,Hindon River,Running,80,BEML,RS2,2015
TRN_003,DL-9279,Pink Line Train 3,Pink Line,1500,Shiv Vihar,Running,80,CAF,RS4,2015
TRN_004,DL-8359,Pink Line Train 4,Pink Line,2200,Majlis Park,Running,80,Hyundai Rotem,RS3,2016
TRN_005,DL-3547,Yellow Line Train 5,Yellow Line,2200,Model Town,Running,80,Hyundai Rotem,RS1,2017
TRN_006,DL-6635,Pink Line Train 6,Pink Line,2200,Shalimar Bagh,Maintenance,80,Hyundai Rotem,RS15,2013
TRN_007,DL-7201,Red Line Train 7,Red Line,2200,Rohini East,Maintenance,80,CAF,RS3,2021
TRN_008,DL-4150,Magenta Line Train 8,Magenta Line,1500,Dabri Mor - Janakpuri South,Maintenance,80,Alstom,RS3,2013
TRN_009,DL-4814,Red Line Train 9,Red Line,2400,Dilshad Garden,Idle,80,Bombardier,RS2,2017
TRN_010,DL-6820,Yellow Line Train 10,Yellow Line,2200,Adarsh Nagar,Maintenance,80,Alstom,RS15,2023
TRN_011,DL-5010,Yellow Line Train 11,Yellow Line,2400,Hauz Khas,Idle,80,CAF,RS2,2022
TRN_012,DL-6313,Red Line Train 12,Red Line,1800,Rohini East,Running,80,Bombardier,RS4,2016
TRN_013,DL-2084,Yellow Line Train 13,Yellow Line,2200,Chawri Bazar,Maintenance,80,Hyundai Rotem,RS4,2022
TRN_014,DL-8517,Yellow Line Train 14,Yellow Line,2200,Vishwa Vidyalaya,Running,80,CAF,RS15,2016
TRN_015,DL-8019,Pink Line Train 15,Pink Line,2400,East Vinod Nagar - Mayur Vihar-II,Running,80,Alstom,RS15,2019
TRN_016,DL-2489,Red Line Train 16,Red Line,1500,Shyam Park,Maintenance,80,Alstom,METRO-X,2018
TRN_017,DL-2040,Violet Line Train 17,Violet Line,2400,Neelam Chowk Ajronda,Maintenance,80,Bombardier,RS15,2025
TRN_018,DL-1188,Magenta Line Train 18,Magenta Line,1500,Jasola Vihar Shaheen Bagh,Maintenance,80,Bombardier,METRO-X,2017
TRN_019,DL-2827,Blue Line Train 19,Blue Line,2400,Nawada,Idle,80,BEML,METRO-X,2023
TRN_020,DL-5315,Pink Line Train 20,Pink Line,1800,Maujpur - Babarpur,Running,80,Bombardier,METRO-X,2020
TRN_021,DL-4258,Yellow Line Train 21,Yellow Line,2200,Civil Lines,Maintenance,80,CAF,RS1,2021
TRN_022,DL-6310,Violet Line Train 22,Violet Line,1500,Central Secretariat,Idle,80,Bombardier,RS2,2012
TRN_023,DL-4946,Pink Line Train 23,Pink Line,1500,Punjabi Bagh West,Maintenance,80,Hyundai Rotem,RS1,2024
TRN_024,DL-9727,Yellow Line Train 24,Yellow Line,1800,Ghitorni,Maintenance,80,Alstom,RS3,2020
TRN_025,DL-7932,Yellow Line Train 25,Yellow Line,1800,Lok Kalyan Marg,Idle,80,Bombardier,RS4,2020
TRN_026,DL-8397,Red Line Train 26,Red Line,1800,Shaheed Nagar,Running,80,Bombardier,RS1,2021
TRN_027,DL-4770,Pink Line Train 27,Pink Line,1800,Majlis Park,Running,80,BEML,RS2,2013
TRN_028,DL-1514,Blue Line Train 28,Blue Line,1500,Supreme Court,Running,80,Bombardier,METRO-X,2019
TRN_029,DL-4510,Pink Line Train 29,Pink Line,1800,East Azad Nagar,Running,80,Hyundai Rotem,RS4,2015
TRN_030,DL-2545,Red Line Train 30,Red Line,2400,Shahdara,Idle,80,Hyundai Rotem,RS4,2025
TRN_031,DL-1887,Magenta Line Train 31,Magenta Line,1500,Dabri Mor - Janakpuri South,Idle,80,Bombardier,RS1,2015
TRN_032,DL-4139,Yellow Line Train 32,Yellow Line,2400,Vishwa Vidyalaya,Idle,80,Alstom,RS3,2019
TRN_033,DL-5092,Red Line Train 33,Red Line,2400,Pitampura,Maintenance,80,BEML,RS1,2022
TRN_034,DL-9856,Red Line Train 34,Red Line,1500,Kohat Enclave,Running,80,Alstom,RS4,2019
TRN_035,DL-8886,Yellow Line Train 35,Yellow Line,2400,Jahangirpuri,Running,80,Hyundai Rotem,RS1,2018
TRN_036,DL-5345,Violet Line Train 36,Violet Line,2200,Badkhal Mor,Maintenance,80,CAF,METRO-X,2023
TRN_037,DL-8973,Yellow Line Train 37,Yellow Line,1800,Udyog Bhawan,Running,80,BEML,RS15,2023
TRN_038,DL-9883,Red Line Train 38,Red Line,2200,Hindon River,Running,80,CAF,RS4,2020
TRN_039,DL-9701,Yellow Line Train 39,Yellow Line,1500,Guru Dronacharya,Running,80,Alstom,RS1,2021
TRN_040,DL-2113,Magenta Line Train 40,Magenta Line,1800,Panchsheel Park,Running,80,CAF,RS2,2021
TRN_041,DL-1651,Pink Line Train 41,Pink Line,1500,Anand Vihar ISBT,Maintenance,80,CAF,RS15,2020
TRN_042,DL-6183,Blue Line Train 42,Blue Line,1800,Botanical Garden,Maintenance,80,Bombardier,RS2,2016
TRN_043,DL-7484,Yellow Line Train 43,Yellow Line,2200,Sultanpur,Idle,80,BEML,RS1,2019
TRN_044,DL-2638,Red Line Train 44,Red Line,1800,Tis Hazari,Idle,80,Alstom,RS3,2013
TRN_045,DL-5002,Blue Line Train 45,Blue Line,2200,Nawada,Idle,80,CAF,METRO-X,2016
TRN_046,DL-9666,Red Line Train 46,Red Line,2200,Kanhaiya Nagar,Running,80,Alstom,RS3,2013
TRN_047,DL-2753,Magenta Line Train 47,Magenta Line,1800,Munirka,Idle,80,CAF,RS2,2023
TRN_048,DL-6617,Yellow Line Train 48,Yellow Line,2200,Guru Dronacharya,Idle,80,Bombardier,RS1,2013
TRN_049,DL-7939,Blue Line Train 49,Blue Line,1500,Dwarka Sector 21,Idle,80,Alstom,METRO-X,2016
TRN_050,DL-3647,Magenta Line Train 50,Magenta Line,2400,Okhla NSIC,Maintenance,80,Hyundai Rotem,RS15,2012
TRN_051,DL-2832,Red Line Train 51,Red Line,1800,Pul Bangash,Running,80,Bombardier,RS15,2020
TRN_052,DL-3426,Violet Line Train 52,Violet Line,1800,Jama Masjid,Idle,80,Bombardier,RS1,2017
TRN_053,DL-4441,Magenta Line Train 53,Magenta Line,1800,Jasola Vihar Shaheen Bagh,Running,80,Bombardier,RS15,2025
TRN_054,DL-7658,Pink Line Train 54,Pink Line,1800,South Extension,Running,80,Alstom,RS4,2012
TRN_055,DL-3938,Magenta Line Train 55,Magenta Line,2200,Chirag Delhi,Maintenance,80,Alstom,RS3,2014
TRN_056,DL-2771,Violet Line Train 56,Violet Line,1500,Bata Chowk,Running,80,Alstom,RS4,2017
TRN_057,DL-6000,Yellow Line Train 57,Yellow Line,1800,"Rohini Sector 18, 19",Maintenance,80,Alstom,RS4,2017
TRN_058,DL-5564,Red Line Train 58,Red Line,2200,Shahdara,Maintenance,80,CAF,RS4,2022
TRN_059,DL-9785,Blue Line Train 59,Blue Line,1500,Dwarka Sector 14,Idle,80,Alstom,RS15,2016
TRN_060,DL-1626,Red Line Train 60,Red Line,2400,Shahdara,Maintenance,80,Bombardier,RS4,2021
TRN_061,DL-9379,Red Line Train 61,Red Line,2400,Rithala,Maintenance,80,Alstom,RS3,2012
TRN_062,DL-8144,Red Line Train 62,Red Line,1800,Shahdara,Idle,80,BEML,METRO-X,2017
TRN_063,DL-6143,Magenta Line Train 63,Magenta Line,1500,Okhla Bird Sanctuary,Idle,80,CAF,RS3,2022
TRN_064,DL-7691,Blue Line Train 64,Blue Line,2400,Noida City Centre,Idle,80,CAF,RS2,2015
TRN_065,DL-7888,Magenta Line Train 65,Magenta Line,2400,Jasola Vihar Shaheen Bagh,Maintenance,80,Alstom,RS15,2021
TRN_066,DL-5930,Violet Line Train 66,Violet Line,1500,Sarita Vihar,Idle,80,Alstom,RS4,2024
TRN_067,DL-6279,Violet Line Train 67,Violet Line,2400,Old Faridabad,Maintenance,80,Alstom,RS15,2019
TRN_068,DL-3780,Magenta Line Train 68,Magenta Line,1500,R.K. Puram,Maintenance,80,CAF,RS3,2013
TRN_069,DL-4848,Magenta Line Train 69,Magenta Line,2200,Vasant Vihar,Running,80,Alstom,RS1,2012
TRN_070,DL-5011,Violet Line Train 70,Violet Line,1500,Neelam Chowk Ajronda,Idle,80,CAF,RS2,2023
TRN_071,DL-7291,Violet Line Train 71,Violet Line,2400,Kalkaji Mandir,Running,80,BEML,RS1,2024
TRN_072,DL-7965,Yellow Line Train 72,Yellow Line,1800,Sikanderpur,Idle,80,BEML,RS15,2015
TRN_073,DL-2988,Violet Line Train 73,Violet Line,1800,Neelam Chowk Ajronda,Maintenance,80,CAF,RS15,2021
TRN_074,DL-6198,Violet Line Train 74,Violet Line,2400,Old Faridabad,Running,80,Hyundai Rotem,RS4,2016
TRN_075,DL-5050,Magenta Line Train 75,Magenta Line,2200,Botanical Garden,Maintenance,80,Hyundai Rotem,METRO-X,2015
TRN_076,DL-5499,Violet Line Train 76,Violet Line,1500,Jasola Apollo,Running,80,Bombardier,RS3,2017
TRN_077,DL-9849,Red Line Train 77,Red Line,1800,Shyam Park,Running,80,Hyundai Rotem,METRO-X,2014
TRN_078,DL-4505,Red Line Train 78,Red Line,2400,Seelampur,Idle,80,CAF,RS4,2018
TRN_079,DL-2020,Yellow Line Train 79,Yellow Line,2400,Hauz Khas,Maintenance,80,BEML,RS15,2018
TRN_080,DL-8814,Red Line Train 80,Red Line,2200,Jhilmil,Idle,80,Hyundai Rotem,RS15,2023
TRN_081,DL-9947,Pink Line Train 81,Pink Line,1800,Jafrabad,Running,80,Bombardier,RS4,2019
TRN_082,DL-1475,Violet Line Train 82,Violet Line,2200,Mewala Maharajpur,Maintenance,80,Alstom,RS4,2014
TRN_083,DL-9751,Red Line Train 83,Red Line,2400,Pratap Nagar,Maintenance,80,BEML,RS1,2022
TRN_084,DL-8022,Yellow Line Train 84,Yellow Line,2400,Kashmere Gate,Running,80,Bombardier,RS4,2017
TRN_085,DL-4467,Violet Line Train 85,Violet Line,2200,Tughlakabad,Idle,80,Bombardier,RS4,2016
TRN_086,DL-2341,Violet Line Train 86,Violet Line,1500,Delhi Gate,Idle,80,Alstom,METRO-X,2013
TRN_087,DL-1659,Red Line Train 87,Red Line,1800,Raj Bagh,Running,80,CAF,RS2,2015
TRN_088,DL-3068,Violet Line Train 88,Violet Line,1500,Kailash Colony,Idle,80,Bombardier,RS3,2014
TRN_089,DL-2876,Yellow Line Train 89,Yellow Line,2200,Model Town,Maintenance,80,BEML,RS3,2021
TRN_090,DL-7149,Violet Line Train 90,Violet Line,1800,ITO,Maintenance,80,Alstom,RS1,2023
TRN_091,DL-5941,Magenta Line Train 91,Magenta Line,1500,Sukhdev Vihar,Running,80,Bombardier,RS15,2018
TRN_092,DL-7071,Red Line Train 92,Red Line,2200,Shaheed Sthal,Idle,80,Hyundai Rotem,RS1,2018
TRN_093,DL-6934,Magenta Line Train 93,Magenta Line,2400,Kalindi Kunj,Running,80,Hyundai Rotem,RS2,2023
TRN_094,DL-9548,Magenta Line Train 94,Magenta Line,2200,Jamia Millia Islamia,Maintenance,80,Hyundai Rotem,RS4,2018
TRN_095,DL-5397,Blue Line Train 95,Blue Line,1800,Dwarka Sector 12,Idle,80,Hyundai Rotem,RS2,2024
TRN_096,DL-8613,Pink Line Train 96,Pink Line,2400,Mayur Vihar Pocket 1,Running,80,Hyundai Rotem,RS3,2014
TRN_097,DL-8988,Yellow Line Train 97,Yellow Line,2200,Patel Chowk,Idle,80,Bombardier,RS15,2023
TRN_098,DL-5526,Pink Line Train 98,Pink Line,1500,Gokulpuri,Running,80,BEML,RS2,2023
TRN_099,DL-7658,Violet Line Train 99,Violet Line,1800,Bata Chowk,Maintenance,80,Hyundai Rotem,RS4,2024
TRN_100,DL-1282,Red Line Train 100,Red Line,2200,Shaheed Nagar,Idle,80,Alstom,RS3,2022
TRN_101,DL-7046,Violet Line Train 101,Violet Line,2200,Badkhal Mor,Maintenance,80,CAF,RS3,2017
TRN_102,DL-8434,Blue Line Train 102,Blue Line,2200,Tilak Nagar,Running,80,BEML,METRO-X,2015
TRN_103,DL-6169,Red Line Train 103,Red Line,1800,Raj Bagh,Running,80,Hyundai Rotem,RS3,2023
TRN_104,DL-9595,Pink Line Train 104,Pink Line,2200,ESI Basaidarapur,Running,80,Bombardier,RS2,2017
TRN_105,DL-3939,Blue Line Train 105,Blue Line,1500,Noida Sector 34,Maintenance,80,Alstom,RS3,2012
