Station ID,Station Name,Line,Latitude,Longitude,Opened Date,Station Layout,Platform Count,Daily Passengers
ST-001,Rajiv Chowk,Yellow Line,28.6328,77.2197,2005-07-03,Underground,4,185000
ST-002,Kashmere Gate,Red Line,28.6675,77.2285,2002-12-25,Elevated,6,160000
ST-003,Chandni Chowk,Yellow Line,28.6578,77.2301,2005-07-03,Underground,2,142000
ST-004,New Delhi,Yellow Line,28.6431,77.2223,2005-07-03,Underground,4,170000
ST-005,Hauz Khas,Yellow Line,28.5431,77.2066,2010-09-03,Underground,4,130000
ST-006,Central Secretariat,Yellow Line,28.6146,77.2119,2005-07-03,Underground,4,115000
ST-007,INAKhan Market,Violet Line,28.6006,77.2269,2010-10-03,Underground,2,98000
ST-008,Lajpat Nagar,Pink Line,28.5701,77.2384,2018-03-14,Elevated,4,125000
ST-009,Botanical Garden,Blue Line,28.5644,77.3343,2009-11-12,Elevated,4,110000
ST-010,Noida City Centre,Blue Line,28.5747,77.3560,2009-11-12,Elevated,2,95000
ST-011,Noida Sector 62,Blue Line,28.6208,77.3639,2019-03-09,Elevated,2,82000
ST-012,Akshardham,Blue Line,28.6181,77.2785,2009-11-12,Elevated,2,76000
ST-013,Yamuna Bank,Blue Line,28.6234,77.2662,2009-05-10,At Grade,4,89000
ST-014,Mandi House,Blue Line,28.6258,77.2341,2006-11-11,Underground,4,105000
ST-015,Karol Bagh,Blue Line,28.6441,77.1884,2005-12-31,Elevated,2,92000
ST-016,Rajouri Garden,Pink Line,28.6492,77.1226,2018-03-14,Elevated,4,99000
ST-017,Janakpuri West,Magenta Line,28.6294,77.0778,2018-05-29,Elevated,4,108000
ST-018,Dwarka Sector 21,Blue Line,28.5521,77.0583,2010-10-30,Underground,4,118000
ST-019,IGIA Terminal 1,Magenta Line,28.5615,77.1214,2018-05-29,Underground,2,88000
ST-020,Kalkaji Mandir,Violet Line,28.5492,77.2584,2010-10-03,Elevated,4,102000
