incident_id,train_id,station_name,incident_time,delay_minutes,incident_type,severity,resolved
INC_000001,TRN_192,Nehru Place,2026-03-18 15:45:00,44,Medical Emergency,Critical,True
INC_000002,TRN_060,Kashmere Gate,2026-03-24 09:19:00,6,Track Maintenance,Medium,True
INC_000003,TRN_169,Kohat Enclave,2026-03-11 11:47:00,10,Signal Failure,Medium,True
INC_000004,TRN_105,Kirti Nagar,2026-03-16 20:43:00,10,Power Failure,Medium,True
INC_000005,TRN_053,R.K. Puram,2026-03-26 06:03:00,15,Medical Emergency,High,True
INC_000006,TRN_155,Kohat Enclave,2026-03-26 15:15:00,41,Power Failure,Critical,True
INC_000007,TRN_077,Pul Bangash,2026-03-04 22:15:00,29,Track Maintenance,High,True
INC_000008,TRN_061,Dilshad Garden,2026-03-07 08:57:00,7,Passenger Congestion,Medium,True
INC_000009,TRN_070,Mewala Maharajpur,2026-03-24 10:11:00,28,Track Maintenance,High,True
INC_000010,TRN_027,Punjabi Bagh West,2026-03-25 09:15:00,22,Track Maintenance,High,True
INC_000011,TRN_014,GTB Nagar,2026-03-01 17:46:00,30,Track Maintenance,Critical,True
INC_000012,TRN_021,Rajiv Chowk,2026-03-01 11:16:00,6,Passenger Congestion,Medium,True
INC_000013,TRN_073,Moolchand,2026-03-12 17:50:00,33,Medical Emergency,Critical,True
INC_000014,TRN_164,Dwarka Sector 11,2026-03-25 17:16:00,6,Passenger Congestion,Medium,True
INC_000015,TRN_125,Hindon River,2026-03-14 08:31:00,4,Medical Emergency,Low,True
INC_000016,TRN_173,Dilshad Garden,2026-03-11 14:45:00,36,Medical Emergency,Critical,True
INC_000017,TRN_126,Panchsheel Park,2026-03-03 09:32:00,31,Signal Failure,Critical,True
INC_000018,TRN_073,Jangpura,2026-03-08 21:52:00,12,Power Failure,Medium,True
INC_000019,TRN_168,Delhi Cantt,2026-03-19 22:40:00,40,Track Maintenance,Critical,True
INC_000020,TRN_074,Old Faridabad,2026-03-01 09:48:00,2,Signal Failure,Low,True
INC_000021,TRN_050,Okhla Bird Sanctuary,2026-03-07 09:22:00,42,Medical Emergency,Critical,True
INC_000022,TRN_168,Lajpat Nagar,2026-03-25 10:39:00,19,Passenger Congestion,High,True
INC_000023,TRN_129,Malviya Nagar,2026-03-22 19:26:00,21,Power Failure,High,True
INC_000024,TRN_184,Mansarovar Park,2026-03-01 16:40:00,34,Medical Emergency,Critical,True
INC_000025,TRN_076,Sant Surdas (Sihi),2026-03-24 10:13:00,7,Track Maintenance,Medium,True
INC_000026,TRN_031,Munirka,2026-03-03 12:05:00,18,Signal Failure,High,True
INC_000027,TRN_039,Chhattarpur,2026-03-12 20:58:00,42,Door Issue,Critical,True
INC_000028,TRN_029,Mayur Vihar-I,2026-03-21 11:40:00,16,Passenger Congestion,High,True
INC_000029,TRN_037,Sikanderpur,2026-03-01 13:22:00,22,Signal Failure,High,True
INC_000030,TRN_012,Arthala,2026-03-02 11:55:00,9,Signal Failure,Medium,True
INC_000031,TRN_085,Central Secretariat,2026-03-29 16:37:00,22,Passenger Congestion,High,True
INC_000032,TRN_176,Noida Sector 18,2026-03-18 19:39:00,28,Door Issue,High,False
INC_000033,TRN_139,Jasola Vihar Shaheen Bagh,2026-03-06 15:20:00,21,Passenger Congestion,High,False
INC_000034,TRN_155,Shyam Park,2026-03-13 16:19:00,15,Door Issue,High,True
INC_000035,TRN_122,Harkesh Nagar Okhla,2026-03-26 11:13:00,28,Door Issue,High,True
INC_000036,TRN_029,ESI Basaidarapur,2026-03-27 13:15:00,29,Door Issue,High,True
INC_000037,TRN_056,Harkesh Nagar Okhla,2026-03-05 15:41:00,45,Passenger Congestion,Critical,True
INC_000038,TRN_114,"Rohini Sector 18, 19",2026-03-25 08:31:00,40,Power Failure,Critical,True
INC_000039,TRN_166,Greater Kailash,2026-03-24 18:19:00,12,Power Failure,Medium,True
INC_000040,TRN_072,Model Town,2026-03-30 15:44:00,4,Track Maintenance,Low,True
INC_000041,TRN_181,Bhikaji Cama Place,2026-03-09 21:49:00,15,Track Maintenance,High,True
INC_000042,TRN_197,Rohini West,2026-03-18 15:25:00,36,Passenger Congestion,Critical,True
INC_000043,TRN_001,Seelampur,2026-03-12 08:50:00,6,Power Failure,Medium,True
INC_000044,TRN_165,Badarpur Border,2026-03-29 20:06:00,38,Passenger Congestion,Critical,True
INC_000045,TRN_067,Kalkaji Mandir,2026-03-06 16:36:00,3,Track Maintenance,Low,True
INC_000046,TRN_094,Dashrathpuri,2026-03-30 20:28:00,44,Signal Failure,Critical,True
INC_000047,TRN_147,Botanical Garden,2026-03-10 12:01:00,11,Power Failure,Medium,True
INC_000048,TRN_154,Jhandewalan,2026-03-23 10:11:00,17,Medical Emergency,High,True
INC_000049,TRN_172,Sector 28,2026-03-22 15:25:00,20,Track Maintenance,High,True
INC_000050,TRN_144,Samaypur Badli,2026-03-04 09:54:00,29,Medical Emergency,High,True
INC_000051,TRN_153,Ramesh Nagar,2026-03-19 12:03:00,6,Medical Emergency,Medium,True
INC_000052,TRN_140,Gokulpuri,2026-03-10 21:05:00,6,Track Maintenance,Medium,True
INC_000053,TRN_066,Moolchand,2026-03-19 10:36:00,10,Passenger Congestion,Medium,True
INC_000054,TRN_123,Panchsheel Park,2026-03-25 09:07:00,35,Power Failure,Critical,True
INC_000055,TRN_053,Jamia Millia Islamia,2026-03-15 06:40:00,16,Door Issue,High,True
INC_000056,TRN_174,Janakpuri West,2026-03-27 08:52:00,3,Medical Emergency,Low,True
INC_000057,TRN_023,Shiv Vihar,2026-03-17 12:27:00,14,Medical Emergency,Medium,True
INC_000058,TRN_076,Sant Surdas (Sihi),2026-03-24 07:47:00,20,Medical Emergency,High,True
INC_000059,TRN_126,Terminal 1 IGI Airport,2026-03-10 08:25:00,43,Passenger Congestion,Critical,True
INC_000060,TRN_043,Green Park,2026-03-08 19:14:00,8,Power Failure,Medium,True
INC_000061,TRN_130,Karkarduma,2026-03-17 18:49:00,19,Passenger Congestion,High,True
INC_000062,TRN_196,Dilli Haat - INA,2026-03-08 20:45:00,11,Passenger Congestion,Medium,True
INC_000063,TRN_064,Mayur Vihar-I,2026-03-28 16:34:00,16,Power Failure,High,True
