transaction_id,date,time,day,from_station,to_station,line,fare,payment_mode,card_type,passenger_type,is_holiday,trip_duration_min
TXN-000001,2026-02-08,17:30,Sunday,Shastri Park,New Delhi,Red Line,30.0,Token,Regular,Regular,1,28
TXN-000002,2026-01-03,06:15,Saturday,Raja Nahar Singh,Sikanderpur,Violet Line,36.0,Smart Card,Regular,Regular,0,25
TXN-000003,2026-02-02,09:15,Monday,Shivaji Park,Rajdhani Park,Green Line,10.0,Token,Regular,Regular,0,64
TXN-000004,2026-01-16,09:15,Friday,Karol Bagh,Moolchand,Blue Line,18.0,Smart Card,Female,Female,0,7
TXN-000005,2026-02-06,14:00,Friday,Noida City Centre,Janakpuri West,Blue Line,15.0,National Common Mobility Card,Female,Female,0,13
TXN-000006,2026-01-26,07:45,Monday,Rajouri Garden,Tughlakabad,Blue Line,22.5,Smart Card,Regular,Regular,1,51
TXN-000007,2026-02-04,18:45,Wednesday,Khan Market,Shahdara,Violet Line,22.5,Smart Card,Student,Student,0,8
TXN-000008,2026-02-23,06:15,Monday,Rajendra Place,Kailash Colony,Blue Line,13.5,Smart Card,Female,Female,0,52
TXN-000009,2026-01-15,07:30,Thursday,Mohan Estate,Jangpura,Violet Line,27.0,Smart Card,Regular,Regular,0,57
TXN-000010,2026-01-24,10:45,Saturday,Mewala Maharajpur,Sultanpur,Violet Line,9.0,Smart Card,Regular,Regular,0,13
TXN-000011,2026-01-24,10:45,Saturday,Raja Nahar Singh,Moolchand,Violet Line,18.0,Smart Card,Senior Citizen,Senior Citizen,0,39
TXN-000012,2026-02-02,14:15,Monday,Sector 28,Janpath,Violet Line,25.0,National Common Mobility Card,Student,Student,0,38
TXN-000013,2026-02-02,07:30,Monday,Mohan Estate,Rajdhani Park,Violet Line,30.0,QR Code,Student,Student,0,39
TXN-000014,2026-01-01,10:30,Thursday,Paschim Vihar West,Arjan Garh,Green Line,10.0,QR Code,Regular,Regular,0,18
TXN-000015,2026-02-08,06:30,Sunday,Civil Lines,Rajiv Chowk,Yellow Line,13.5,Smart Card,Regular,Regular,1,56
TXN-000016,2026-02-01,16:00,Sunday,Ghitorni,Seelampur,Yellow Line,30.0,Token,Regular,Regular,1,17
TXN-000017,2026-02-01,13:30,Sunday,Qutab Minar,Haiderpur Badli Mor,Yellow Line,15.0,Token,Regular,Regular,1,10
TXN-000018,2026-01-28,17:45,Wednesday,Pulbangash,Hauz Khas,Red Line,40.0,Token,Differently Abled,Differently Abled,0,66
TXN-000019,2026-02-02,09:30,Monday,Mohan Estate,Vishwavidyalaya,Violet Line,30.0,National Common Mobility Card,Regular,Regular,0,31
TXN-000020,2026-01-09,11:00,Friday,Kirti Nagar,Shastri Park,Blue Line,22.5,Smart Card,Regular,Regular,0,36
TXN-000021,2026-02-01,12:45,Sunday,Udyog Bhawan,Mohan Estate,Yellow Line,9.0,Smart Card,Regular,Regular,1,43
TXN-000022,2026-01-02,16:00,Friday,Udyog Bhawan,Madipur,Yellow Line,9.0,Smart Card,Female,Female,0,58
TXN-000023,2026-01-23,09:00,Friday,AIIMS,Dwarka Sector 8,Yellow Line,36.0,Smart Card,Regular,Regular,0,36
TXN-000024,2026-01-06,09:45,Tuesday,MG Road,Old Faridabad,Yellow Line,54.0,Smart Card,Senior Citizen,Senior Citizen,0,28
TXN-000025,2026-01-05,14:15,Monday,Qutab Minar,Central Secretariat,Yellow Line,45.0,Smart Card,Differently Abled,Differently Abled,0,63
TXN-000026,2026-01-06,16:30,Tuesday,Dwarka Sector 8,Mewala Maharajpur,Blue Line,22.5,Smart Card,Student,Student,0,23
TXN-000027,2026-01-20,15:45,Tuesday,Shahdara,ITO,Red Line,54.0,Smart Card,Female,Female,0,5
TXN-000028,2026-01-11,09:00,Sunday,Khan Market,Ghitorni,Violet Line,50.0,National Common Mobility Card,Regular,Regular,1,20
TXN-000029,2026-01-26,21:45,Monday,Mewala Maharajpur,Udyog Nagar,Violet Line,15.0,Tourist Card,Female,Female,1,73
TXN-000030,2026-02-06,18:30,Friday,Bata Chowk,Shastri Nagar,Violet Line,20.0,QR Code,Differently Abled,Differently Abled,0,24
TXN-000031,2026-01-24,10:00,Saturday,Govindpuri,Vishwavidyalaya,Violet Line,20.0,National Common Mobility Card,Senior Citizen,Senior Citizen,0,29
TXN-000032,2026-01-29,09:15,Thursday,Pragati Maidan,NHPC Chowk,Blue Line,36.0,Smart Card,Female,Female,0,37
TXN-000033,2026-01-04,09:00,Sunday,Kashmere Gate,Dwarka Sector 8,Yellow Line,60.0,Token,Differently Abled,Differently Abled,1,21
TXN-000034,2026-02-02,12:30,Monday,Uttam Nagar East,Qutab Minar,Blue Line,45.0,Smart Card,Student,Student,0,55
TXN-000035,2026-02-23,18:30,Monday,Saket,Escorts Mujesar,Yellow Line,40.0,Token,Student,Student,0,73
TXN-000036,2026-02-17,09:30,Tuesday,Moti Nagar,Keshav Puram,Blue Line,54.0,Smart Card,Female,Female,0,50
TXN-000037,2026-02-22,18:45,Sunday,Shahdara,Jahangirpuri,Red Line,54.0,Smart Card,Student,Student,1,64
TXN-000038,2026-02-02,07:00,Monday,Punjabi Bagh,INA,Green Line,45.0,Smart Card,Regular,Regular,0,22
TXN-000039,2026-01-25,10:15,Sunday,Malviya Nagar,Nangloi Railway Station,Yellow Line,54.0,Smart Card,Regular,Regular,1,51
TXN-000040,2026-01-22,10:30,Thursday,HUDA City Centre,Shastri Park,Yellow Line,13.5,Smart Card,Differently Abled,Differently Abled,0,13
TXN-000041,2026-02-12,16:30,Thursday,Ramesh Nagar,Jasola Apollo,Blue Line,45.0,Smart Card,Regular,Regular,0,28
TXN-000042,2026-01-13,07:30,Tuesday,Maharaja Surajmal Stadium,JLN Stadium,Green Line,27.0,Smart Card,Regular,Regular,0,20
TXN-000043,2026-01-14,18:30,Wednesday,Civil Lines,Ramesh Nagar,Yellow Line,13.5,Smart Card,Student,Student,0,55
TXN-000044,2026-01-25,08:15,Sunday,GTB Nagar,Mandi House,Yellow Line,13.5,Smart Card,Regular,Regular,1,74
TXN-000045,2026-01-15,10:45,Thursday,Sarita Vihar,Rohini West,Violet Line,60.0,QR Code,Regular,Regular,0,9
TXN-000046,2026-02-08,07:00,Sunday,Rohini Sector 18,Vishwavidyalaya,Yellow Line,40.0,Token,Student,Student,1,56
TXN-000047,2026-01-16,20:45,Friday,Shastri Nagar,Hauz Khas,Red Line,20.0,QR Code,Regular,Regular,0,62
TXN-000048,2026-02-24,09:15,Tuesday,Vishwavidyalaya,Mohan Estate,Yellow Line,45.0,Smart Card,Student,Student,0,5
TXN-000049,2026-02-27,19:30,Friday,Inderlok,Rohini West,Red Line,36.0,Smart Card,Regular,Regular,0,5
TXN-000050,2026-01-16,12:45,Friday,Moolchand,Nehru Place,Violet Line,40.0,QR Code,Regular,Regular,0,30
TXN-000051,2026-01-16,08:15,Friday,Maharaja Surajmal Stadium,Harkesh Nagar Okhla,Green Line,36.0,Smart Card,Regular,Regular,0,66
TXN-000052,2026-02-21,08:45,Saturday,Rajendra Place,Rajiv Chowk,Blue Line,60.0,QR Code,Regular,Regular,0,27
TXN-000053,2026-02-27,14:00,Friday,Sarai,Inderlok,Violet Line,22.5,Smart Card,Student,Student,0,62
TXN-000054,2026-02-01,18:00,Sunday,Sikanderpur,Ashok Park Main,Yellow Line,54.0,Smart Card,Student,Student,1,36
TXN-000055,2026-01-27,17:45,Tuesday,Khan Market,Indraprastha,Violet Line,22.5,Smart Card,Differently Abled,Differently Abled,0,47
TXN-000056,2026-02-06,14:00,Friday,ITO,Janpath,Violet Line,13.5,Smart Card,Regular,Regular,0,16
TXN-000057,2026-01-31,10:00,Saturday,Uttam Nagar East,Udyog Nagar,Blue Line,18.0,Smart Card,Student,Student,0,30
TXN-000058,2026-01-10,06:15,Saturday,Uttam Nagar East,Shahdara,Blue Line,45.0,Smart Card,Student,Student,0,33
TXN-000059,2026-02-25,17:00,Wednesday,JLN Stadium,Brigadier Hoshiar Singh,Violet Line,30.0,QR Code,Differently Abled,Differently Abled,0,53
TXN-000060,2026-02-04,10:15,Wednesday,Udyog Bhawan,Sector 28,Yellow Line,54.0,Smart Card,Female,Female,0,41
TXN-000061,2026-01-12,10:00,Monday,Ghitorni,Rajendra Place,Yellow Line,18.0,Smart Card,Female,Female,0,66
