train_id,line,departure_station,arrival_station,scheduled_departure,scheduled_arrival,travel_time_min,stops,frequency,status,platform,direction,coach_count,ac_type
DMT-G017,Green Line,Paschim Vihar East,Nangloi Railway Station,17:30,17:42,12,6,Every 10 min,On Time,3,Down,8,Full AC
DMT-R014,Red Line,Netaji Subhash Place,Welcome,11:35,12:08,33,11,Every 10 min,On Time,2,Up,4,Full AC
DMT-V022,Violet Line,Lal Quila,Kalkaji Mandir,17:20,18:02,42,14,Every 10 min,On Time,2,Down,6,Full AC
DMT-V004,Violet Line,Govindpuri,Mewala Maharajpur,08:25,08:43,18,9,Every 10 min,Delayed,1,Up,8,Full AC
DMT-Y012,Yellow Line,Kashmere Gate,Chandni Chowk,18:05,18:07,2,1,Every 3 min,On Time,3,Down,8,Full AC
DMT-B018,Blue Line,Rajendra Place,Yamuna Bank,23:20,23:34,14,7,Every 5 min,On Time,2,Down,4,Full AC
DMT-G023,Green Line,Kirti Nagar,Maharaja Surajmal Stadium,10:05,10:25,20,10,Every 3 min,On Time,4,Down,4,Full AC
DMT-V020,Violet Line,NHPC Chowk,Escorts Mujesar,18:55,19:09,14,7,Every 7 min,On Time,4,Up,8,Full AC
DMT-V018,Violet Line,Jasola Apollo,Tughlakabad,16:45,16:54,9,3,Every 7 min,Delayed,4,Down,6,Full AC
DMT-G022,Green Line,Rajdhani Park,Brigadier Hoshiar Singh,16:30,16:34,4,2,Every 7 min,On Time,2,Up,4,Non-AC
DMT-Y025,Yellow Line,Adarsh Nagar,Sultanpur,12:50,13:40,50,25,Every 3 min,Running,2,Up,8,Full AC
DMT-R016,Red Line,Rithala,Dilshad Garden,07:00,07:36,36,18,Every 5 min,On Time,4,Down,4,Full AC
DMT-G018,Green Line,Paschim Vihar West,Mundka,22:10,22:24,14,7,Every 7 min,On Time,4,Up,6,Non-AC
DMT-G013,Green Line,Shivaji Park,Paschim Vihar East,15:40,15:46,6,2,Every 5 min,Running,2,Up,4,Full AC
DMT-B020,Blue Line,Janakpuri West,Kirti Nagar,23:45,23:49,4,2,Every 5 min,On Time,4,Up,4,Full AC
DMT-G003,Green Line,Madipur,Brigadier Hoshiar Singh,11:20,11:50,30,10,Every 3 min,On Time,3,Up,8,Full AC
DMT-G015,Green Line,Punjabi Bagh,Nangloi,13:05,13:21,16,8,Every 7 min,On Time,1,Down,8,Full AC
DMT-V015,Violet Line,Janpath,Tughlakabad,13:50,14:35,45,15,Every 10 min,On Time,4,Up,4,Full AC
DMT-B025,Blue Line,Rajiv Chowk,Indraprastha,20:05,20:17,12,4,Every 15 min,On Time,3,Down,8,Full AC
DMT-G023,Green Line,Udyog Nagar,Nangloi,08:00,08:06,6,2,Every 7 min,On Time,3,Up,8,Full AC
DMT-V018,Violet Line,Mandi House,NHPC Chowk,09:45,10:42,57,19,Every 15 min,Delayed,3,Up,6,Full AC
DMT-Y007,Yellow Line,Kashmere Gate,Udyog Bhawan,11:10,11:31,21,7,Every 7 min,On Time,2,Down,4,Full AC
DMT-V005,Violet Line,Govindpuri,Sector 28,07:15,07:35,20,10,Every 5 min,On Time,3,Up,6,Full AC
DMT-B024,Blue Line,Rajendra Place,Yamuna Bank,18:10,18:31,21,7,Every 7 min,Delayed,1,Down,8,Full AC
DMT-B008,Blue Line,Uttam Nagar East,Pragati Maidan,11:35,11:57,22,11,Every 5 min,On Time,4,Up,6,Full AC
DMT-B024,Blue Line,Kirti Nagar,Noida City Centre,14:50,15:29,39,13,Every 5 min,On Time,1,Down,4,Non-AC
DMT-R005,Red Line,Rithala,Rohini East,11:15,11:21,6,2,Every 3 min,Delayed,1,Down,4,Full AC
DMT-R024,Red Line,Rohini West,Shahdara,19:00,19:32,32,16,Every 5 min,Delayed,2,Down,6,Full AC
DMT-B020,Blue Line,Ramesh Nagar,Rajendra Place,05:35,05:37,2,1,Every 5 min,On Time,2,Up,4,Full AC
DMT-Y025,Yellow Line,AIIMS,Ghitorni,07:50,08:14,24,8,Every 15 min,Delayed,4,Down,8,Full AC
DMT-R005,Red Line,Kanhaiya Nagar,Tis Hazari,22:05,22:15,10,5,Every 10 min,On Time,4,Down,4,Full AC
DMT-V002,Violet Line,Lajpat Nagar,Harkesh Nagar Okhla,16:10,16:28,18,6,Every 5 min,On Time,3,Up,6,Full AC
