date,time,day,train_id,line,station,delay_minutes,delay_reason,weather,impact_level,affected_passengers,is_peak_hour,is_holiday,resolution_time_min
2026-01-02,21:56,Friday,DMT-Y021,Yellow Line,Civil Lines,13,Track Maintenance,Smoggy,Medium,520,0,0,26
2026-01-27,09:42,Tuesday,DMT-B023,Red Line,Shastri Park,30,Track Maintenance,Clear,High,1200,1,0,32
2026-01-03,07:18,Saturday,DMT-B007,Violet Line,Central Secretariat,7,Technical Fault,Foggy,Low,278,0,0,20
2026-01-07,15:07,Wednesday,DMT-Y007,Red Line,Shastri Nagar,49,Power Failure,Smoggy,High,1960,0,0,58
2026-02-17,14:50,Tuesday,DMT-R015,Red Line,Dilshad Garden,1,Weather Disruption,Foggy,Low,44,0,0,6
2026-01-03,07:44,Saturday,DMT-G010,Green Line,Brigadier Hoshiar Singh,17,Overcrowding,Clear,Medium,751,0,0,29
2026-02-20,12:24,Friday,DMT-V016,Yellow Line,Qutab Minar,11,Switch Failure,Foggy,Medium,426,0,0,13
2026-01-23,17:13,Friday,DMT-B003,Blue Line,Kirti Nagar,36,Technical Fault,Rainy,High,1620,1,0,47
2026-01-30,15:41,Friday,DMT-V002,Blue Line,Moti Nagar,27,Switch Failure,Clear,High,1155,0,0,40
2026-01-08,18:45,Thursday,DMT-G003,Green Line,Nangloi,6,Door Malfunction,Rainy,Low,231,1,0,18
2026-02-11,19:39,Wednesday,DMT-G004,Violet Line,Moolchand,13,Door Malfunction,Foggy,Medium,496,1,0,20
2026-02-21,16:18,Saturday,DMT-Y022,Violet Line,Lajpat Nagar,6,Overcrowding,Foggy,Low,248,0,0,16
2026-01-18,06:42,Sunday,DMT-Y008,Violet Line,Lajpat Nagar,49,Signal Failure,Foggy,High,1793,0,1,58
2026-01-21,14:26,Wednesday,DMT-Y010,Red Line,Rithala,10,Passenger Emergency,Foggy,Medium,466,0,0,14
2026-01-07,10:00,Wednesday,DMT-R010,Yellow Line,MG Road,24,Passenger Emergency,Foggy,High,1080,1,0,32
2026-01-13,17:44,Tuesday,DMT-Y015,Violet Line,Delhi Gate,10,Technical Fault,Clear,Medium,412,1,0,18
2026-01-06,05:13,Tuesday,DMT-Y007,Blue Line,Karol Bagh,33,Signal Failure,Foggy,High,1280,0,0,46
2026-01-24,09:40,Saturday,DMT-V025,Green Line,Paschim Vihar East,11,Passenger Emergency,Foggy,Medium,385,1,0,25
2026-02-18,12:01,Wednesday,DMT-G024,Green Line,Paschim Vihar East,6,Staff Shortage,Clear,Low,230,0,0,20
2026-02-22,17:16,Sunday,DMT-B022,Red Line,Netaji Subhash Place,7,Door Malfunction,Smoggy,Low,250,1,1,19
2026-02-21,12:26,Saturday,DMT-Y003,Violet Line,Nehru Place,32,Signal Failure,Foggy,High,1222,0,0,44
2026-02-02,14:59,Monday,DMT-R025,Red Line,Tis Hazari,32,Passenger Emergency,Foggy,High,1376,0,0,45
2026-01-08,22:54,Thursday,DMT-Y017,Violet Line,ITO,58,Power Failure,Foggy,High,2459,0,0,60
2026-02-06,23:41,Friday,DMT-Y021,Violet Line,Sector 28,5,Technical Fault,Foggy,Low,218,0,0,17
2026-02-01,21:18,Sunday,DMT-B003,Yellow Line,Rohini Sector 18,11,Weather Disruption,Foggy,Medium,437,0,1,21
2026-02-09,23:36,Monday,DMT-Y006,Violet Line,Jasola Apollo,15,Overcrowding,Clear,Medium,594,0,0,21
2026-01-18,08:25,Sunday,DMT-R006,Green Line,Punjabi Bagh,28,Switch Failure,Clear,High,1148,1,1,42
2026-01-07,19:24,Wednesday,DMT-B005,Yellow Line,Haiderpur Badli Mor,16,Signal Failure,Smoggy,Medium,611,1,0,19
2026-01-23,08:12,Friday,DMT-R020,Green Line,Peeragarhi,33,Platform Crowding,Foggy,High,1465,1,0,38
2026-02-08,18:38,Sunday,DMT-R023,Yellow Line,Chhattarpur,59,Power Failure,Rainy,High,2395,1,1,71
2026-01-13,11:31,Tuesday,DMT-G014,Red Line,Pratap Nagar,4,Weather Disruption,Cloudy,Low,158,0,0,15
2026-01-15,21:00,Thursday,DMT-V012,Violet Line,Kailash Colony,42,Track Maintenance,Foggy,High,1772,0,0,46
2026-02-08,22:32,Sunday,DMT-G016,Yellow Line,Chawri Bazar,36,Signal Failure,Clear,High,1728,0,1,44
2026-02-24,09:59,Tuesday,DMT-B024,Yellow Line,Civil Lines,7,Signal Failure,Foggy,Low,264,1,0,17
2026-02-15,07:55,Sunday,DMT-G014,Yellow Line,GTB Nagar,11,Technical Fault,Cloudy,Medium,446,0,1,20
2026-01-16,09:48,Friday,DMT-G021,Green Line,Paschim Vihar West,15,Technical Fault,Foggy,Medium,603,1,0,24
2026-02-23,09:08,Monday,DMT-V014,Red Line,Pratap Nagar,10,Passenger Emergency,Clear,Medium,370,1,0,17
2026-02-08,07:52,Sunday,DMT-R008,Yellow Line,Hauz Khas,11,Track Maintenance,Clear,Medium,455,0,1,20
2026-02-20,16:20,Friday,DMT-Y025,Violet Line,Central Secretariat,18,Signal Failure,Cloudy,Medium,723,0,0,20
2026-01-13,13:30,Tuesday,DMT-G001,Yellow Line,Model Town,52,Power Failure,Foggy,High,1778,0,0,65
2026-02-05,07:26,Thursday,DMT-B016,Blue Line,Yamuna Bank,3,Overcrowding,Rainy,Low,109,0,0,16
2026-02-21,09:30,Saturday,DMT-V006,Blue Line,Indraprastha,5,Door Malfunction,Foggy,Low,183,1,0,9
2026-01-07,10:26,Wednesday,DMT-B018,Blue Line,Noida Sector 15,3,Platform Crowding,Foggy,Low,120,1,0,15
2026-02-06,23:39,Friday,DMT-R005,Violet Line,Janpath,46,Signal Failure,Foggy,High,1793,0,0,55
2026-01-14,08:15,Wednesday,DMT-B022,Yellow Line,Chandni Chowk,36,Power Failure,Cloudy,High,1346,1,0,43
2026-02-23,09:12,Monday,DMT-B022,Blue Line,Uttam Nagar East,10,Overcrowding,Rainy,Medium,388,1,0,13
2026-02-08,20:21,Sunday,DMT-Y024,Violet Line,Central Secretariat,8,Signal Failure,Cloudy,Low,313,0,1,12
2026-02-27,15:47,Friday,DMT-R011,Violet Line,Sarai,22,Power Failure,Clear,High,915,0,0,27
2026-02-12,11:29,Thursday,DMT-V007,Red Line,Inderlok,6,Passenger Emergency,Smoggy,Low,252,0,0,8
2026-01-10,12:37,Saturday,DMT-R021,Red Line,Pulbangash,37,Platform Crowding,Foggy,High,1539,0,0,50
2026-01-27,23:55,Tuesday,DMT-G017,Red Line,Dilshad Garden,20,Track Maintenance,Cloudy,High,832,0,0,34
2026-01-20,12:48,Tuesday,DMT-Y008,Green Line,Mundka,35,Overcrowding,Foggy,High,1316,0,0,40
2026-02-02,17:50,Monday,DMT-V002,Blue Line,Dwarka Sector 21,27,Door Malfunction,Clear,High,1063,1,0,32
2026-01-08,08:25,Thursday,DMT-R018,Green Line,Udyog Nagar,45,Signal Failure,Foggy,High,1791,1,0,53
2026-01-02,10:14,Friday,DMT-B025,Violet Line,Old Faridabad,15,Signal Failure,Foggy,Medium,639,1,0,24
2026-02-09,05:35,Monday,DMT-R012,Red Line,Kashmere Gate,11,Signal Failure,Foggy,Medium,407,0,0,20
2026-01-13,08:59,Tuesday,DMT-B004,Blue Line,Janakpuri West,6,Overcrowding,Clear,Low,256,1,0,17
